"","date","crimes","arson","assault","damage","disorder","dui","drug","larceny","vehi_theft","family","away_team","home_team","day_night","completed","pitch","attendance","game_time","name","city","state","Game","Date","Opponent","Score","Decision","Record","X","X.1","X.2","X.3","X.4","X.5"
"132",2018-05-12,648,0,170,63,1,0,0,192,21,3,"CIN","LAN","N",NA,"LOS03",49911,197,"Dodger Stadium","Los Angeles","CA","39","05-12-2018","vs Cincinnati Reds","3-5","L","16-23",NA,NA,NA,NA,NA,NA
"133",2018-05-13,645,2,200,76,2,0,0,171,10,5,"CIN","LAN","D",NA,"LOS03",44787,175,"Dodger Stadium","Los Angeles","CA","40","05-13-2018","vs Cincinnati Reds","3-5","L","16-24",NA,NA,NA,NA,NA,NA
"134",2018-05-14,597,0,153,35,4,0,0,175,14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",2018-05-15,649,1,139,45,6,0,0,213,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",2018-05-16,620,1,160,56,3,0,0,183,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",2018-05-17,625,1,148,55,1,0,0,184,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",2018-05-18,743,1,190,78,2,0,0,236,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",2018-05-19,599,5,167,65,3,0,0,165,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",2018-05-20,701,2,209,70,2,0,0,201,14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",2018-05-21,635,2,145,61,7,0,0,177,13,2,"COL","LAN","N",NA,"LOS03",42805,155,"Dodger Stadium","Los Angeles","CA","47","05-21-2018","vs Colorado Rockies","1-2","L","20-27",NA,NA,NA,NA,NA,NA
